Rank,Player,Team,Position,Tier,Tag,Notes
1,Jahmyr Gibbs,DET,RB,Tier 1,TARGET,🎯[SMASH TARGET] | VORP: +189.2 | Proj: 335.5pts | ⭐ Top-10 Eco (Drew Petzing) • OL #16 • 👑 Elite GL Run (74% Run - Gibbs/Monty TDs) • 👑 3-Down Bellcow • 💰 Contract Yr
2,Bijan Robinson,ATL,RB,Tier 1,TARGET,🎯[SMASH TARGET] | VORP: +174.3 | Proj: 320.7pts | Scheme: Kevin Stefanski/Rees • OL #11 • 👑 Elite GL Run (70% Run - Bijan TDs) • 👑 3-Down Bellcow • 💰 Contract Yr
3,Jonathan Taylor,IND,RB,Tier 1,TARGET,🎯[SMASH TARGET] | VORP: +137.2 | Proj: 283.5pts | Scheme: Shane Steichen • OL #10 • 👑 Elite GL Run (69% Run - JT TDs) • ⚡ Goal-Line Anchor
4,Puka Nacua,LAR,WR,Tier 1,TARGET,🎯[SMASH TARGET] | VORP: +130.1 | Proj: 268.8pts | ⭐ Top-10 Eco (Sean McVay) • 🛡️ Top-5 OL (#3) • 🎯 Pass-Funnel RZ (58% Pass) • 🟢 Green Schedule (≤2 Shadows) • 💰 Contract Yr
5,Ja'Marr Chase,CIN,WR,Tier 1,TARGET,🎯[SMASH TARGET] | VORP: +123.4 | Proj: 262.1pts | ⭐ Top-10 Eco (Zac Taylor) • ⚠️ Bad OL (#28) • 🎯 Pass-Funnel RZ (65% Pass)
6,Christian McCaffrey,SF,RB,Tier 2,TARGET,🎯[SMASH TARGET] | VORP: +112.1 | Proj: 258.4pts | ⭐ Top-10 Eco (Kyle Shanahan) • OL #6 • 👑 Elite GL Run (68% Run - CMC TDs)
7,James Cook,BUF,RB,Tier 2,TARGET,🎯[SMASH TARGET] | VORP: +110.6 | Proj: 256.9pts | ⭐ Top-10 Eco (Joe Brady) • OL #7
8,Jaxon Smith-Njigba,SEA,WR,Tier 2,TARGET,🎯[SMASH TARGET] | VORP: +105.3 | Proj: 244.0pts | Scheme: Brian Fleury • 🎯 Target Funnel (47% 2-WR)
9,Amon-Ra St. Brown,DET,WR,Tier 2,TARGET,🎯[SMASH TARGET] | VORP: +103.6 | Proj: 242.4pts | ⭐ Top-10 Eco (Drew Petzing)
10,Saquon Barkley,PHI,RB,Tier 2,TARGET,🎯[SMASH TARGET] | VORP: +100.4 | Proj: 246.7pts | ⭐ Top-10 Eco (Sean Mannion) • 🛡️ Top-5 OL (#2) • 👑 Elite GL Run (78% Run - Saquon/Hurts TDs)
11,Kenneth Walker,KC,RB,Tier 2,TARGET,💥[EXODIA MUST-HAVE] | VORP: +96.1 | Proj: 242.4pts | ⭐ Top-10 Eco (Andy Reid) • OL #21 • 👑 3-Down Bellcow
12,De'Von Achane,MIA,RB,Tier 2,AVOID,🚫[AVOID/FADE] | VORP: +92.9 | Proj: 239.2pts | ⭐ Top-10 Eco (Bobby Slowik) • ⚠️ Bad OL (#30) • 👑 3-Down Bellcow • 💰 Contract Yr
13,Derrick Henry,BAL,RB,Tier 2,,VORP: +88.7 | Proj: 235.1pts | ⭐ Top-10 Eco (Declan Doyle) • ⚠️ Bad OL (#26) • 👑 Elite GL Run (72% Run - Henry/Lamar TDs) • ⚡ Goal-Line Anchor
14,Chase Brown,CIN,RB,Tier 2,TARGET,💥[EXODIA MUST-HAVE] | VORP: +88.7 | Proj: 235.0pts | ⭐ Top-10 Eco (Zac Taylor) • ⚠️ Bad OL (#28) • 👑 3-Down Bellcow
15,Omarion Hampton,LAC,RB,Tier 2,TARGET,💥[EXODIA MUST-HAVE] | VORP: +88.2 | Proj: 234.5pts | Scheme: Mike McDaniel • OL #9 • 👑 Elite GL Run (71% Run - Hampton TDs) • 👑 3-Down Bellcow
16,Ashton Jeanty,LV,RB,Tier 2,TARGET,💥[EXODIA MUST-HAVE] | VORP: +85.6 | Proj: 232.0pts | Scheme: Klint Kubiak • OL #24 • 👑 3-Down Bellcow
17,CeeDee Lamb,DAL,WR,Tier 3,,VORP: +78.0 | Proj: 216.8pts | ⭐ Top-10 Eco (Brian Schottenheimer) • 🎯 Pass-Funnel RZ (61% Pass) • ⚡ 3-WR Slot Heavy (26%)
18,Josh Jacobs,GB,RB,Tier 3,,VORP: +73.4 | Proj: 219.8pts | ⭐ Top-10 Eco (Matt LaFleur) • ⚠️ Bad OL (#27) • 👑 Elite GL Run (67% Run - Jacobs TDs) • ⚡ Goal-Line Anchor
19,Breece Hall,NYJ,RB,Tier 3,TARGET,💥[EXODIA MUST-HAVE] | VORP: +72.6 | Proj: 218.9pts | Scheme: Frank Reich • OL #17
20,Brock Bowers,LV,TE,Tier 3,TARGET,💥[EXODIA MUST-HAVE] | VORP: +72.5 | Proj: 206.9pts | Scheme: Klint Kubiak • 🎯 90%+ Route Snaps (40% 12p) • 💥 TE1 Alpha
21,Justin Jefferson,MIN,WR,Tier 3,AVOID,⚠️[PASS/CAUTION] | VORP: +71.8 | Proj: 210.6pts | Scheme: Kevin O'Connell • 🎯 Pass-Funnel RZ (58% Pass)
22,Drake London,ATL,WR,Tier 3,TARGET,💥[EXODIA MUST-HAVE] | VORP: +71.1 | Proj: 209.9pts | Scheme: Kevin Stefanski/Rees • 🎯 Target Funnel (54% 2-WR) • 💰 Contract Yr
