Rank,Player,Team,Position,Tier,Notes
1,Jahmyr Gibbs,DET,RB,Tier T1,[🎯TARGET][TIER 1][💲CONTRACT][⛏️GOLD STD][🔬TALENT 97] FP: 314.8pts (VORP: +160.5) | OL: 3.5/5 | %RB1: 62% | Luck: -19.0pts
2,Bijan Robinson,ATL,RB,Tier T1,[🎯TARGET][TIER 1][💲CONTRACT][⛏️GOLD STD][🔬TALENT 99] FP: 304.3pts (VORP: +145.7) | OL: 4.0/5 | %RB1: 59% | 2-WR: 54% | Screen #3
3,Puka Nacua,LAR,WR,Tier T2,[🎯TARGET][TIER 1][💲CONTRACT][🔬TALENT 99] FP: 259.3pts (VORP: +113.8) | OL: 4.5/5 | Luck: +20.8pts
4,Jonathan Taylor,IND,RB,Tier T2,[🎯TARGET][TIER 2][⛏️GOLD DIGGER] FP: 287.6pts (VORP: +108.5) | OL: 4.5/5 | %RB1: 69% | Luck: -16.8pts
5,Ja'Marr Chase,CIN,WR,Tier T2,[🎯TARGET][TIER 1][🔬TALENT 94] FP: 234.0pts (VORP: +107.2) | OL: 3.0/5 | Luck: +22.8pts
6,Jaxon Smith-Njigba,SEA,WR,Tier T2,[🎯TARGET][TIER 1][🔬TALENT 97] FP: 229.4pts (VORP: +89.0) | OL: 3.5/5 | 2-WR: 47%
7,Amon-Ra St. Brown,DET,WR,Tier T2,[🎯TARGET][TIER 2][🔬TALENT 95] FP: 219.6pts (VORP: +87.4) | OL: 3.5/5 | Luck: +22.2pts
8,Christian McCaffrey,SF,RB,Tier T2,[⚠️DIRTY 30][TIER 2] FP: 263.2pts (VORP: +83.4) | OL: 4.0/5 | %RB1: 77% | 2-WR: 48% | Luck: -30.9pts
9,James Cook III,BUF,RB,Tier T2,[🎯TARGET][TIER 2][🥈SILVER] FP: 256.6pts (VORP: +82.0) | OL: 4.5/5 | %RB1: 66%
10,Saquon Barkley,PHI,RB,Tier T3,[👑GURU 12][TIER 3][🥈SILVER] FP: 247.3pts (VORP: +71.7) | OL: 4.0/5 | %RB1: 67%
11,Kenneth Walker III,KC,RB,Tier T3,[💥EXODIA][TIER 3][⛏️GOLD STD][🔬TALENT 92] FP: 224.6pts (VORP: +67.4) | OL: 3.0/5 | %RB1: 55%
12,De'Von Achane,MIA,RB,Tier T3,[⚠️DIRTY 30][TIER 3][💲CONTRACT][⛏️GOLD STD][🔬TALENT 94] FP: 243.0pts (VORP: +64.2) | OL: 2.5/5 | %RB1: 73% | Luck: +10.5pts
13,CeeDee Lamb,DAL,WR,Tier T3,[🎯TARGET][TIER 2] FP: 208.1pts (VORP: +61.8) | OL: 4.0/5 | Luck: +35.5pts
14,Derrick Henry,BAL,RB,Tier T3,[🎯TARGET][TIER 3][⛏️GOLD DIGGER] FP: 235.9pts (VORP: +60.0) | OL: 3.0/5 | %RB1: 63% | 2-WR: 60%
15,Chase Brown,CIN,RB,Tier T3,[💥EXODIA][TIER 3][⭐TOP OFFENSE][⛏️GOLD STD] #4 Bengals Offense - Most Undervalued Asset | FP: 211.2pts (VORP: +60.0) | OL: 3.0/5 | %RB1: 75%
16,Omarion Hampton,LAC,RB,Tier T3,[💥EXODIA][TIER 3][⛏️GOLD STD] FP: 201.3pts (VORP: +59.5) | OL: 3.0/5 | %RB1: 66%
17,Ashton Jeanty,LV,RB,Tier T3,[💥EXODIA][TIER 3][⛏️GOLD STD] FP: 199.0pts (VORP: +57.0) | OL: 2.5/5 | %RB1: 70%
18,Justin Jefferson,MIN,WR,Tier T3,[🟡PASS][TIER 2] FP: 207.1pts (VORP: +55.6) | OL: 4.0/5
19,Drake London,ATL,WR,Tier T3,[💥EXODIA][TIER 2][💲CONTRACT] FP: 190.7pts (VORP: +54.9) | OL: 4.0/5 | 2-WR: 54%
20,Brock Bowers,LV,TE,Tier T3,[💥EXODIA][TIER 1] FP: 173.1pts (VORP: +53.2) | OL: 2.5/5
21,Nico Collins,HOU,WR,Tier T4,[🎯TARGET][TIER 2][🔬TALENT 96] FP: 184.7pts (VORP: +46.3) | OL: 3.0/5
22,Zay Flowers,BAL,WR,Tier T4,[👑GURU 12][TIER 4][🔥CATALYST][💲CONTRACT][🔬TALENT 93] New OC | FP: 175.7pts (VORP: +46.2) | OL: 3.0/5 | 2-WR: 60% | Luck: +12.2pts
23,Josh Jacobs,GB,RB,Tier T4,[🎯TARGET][TIER 4][⛏️GOLD DIGGER] FP: 213.0pts (VORP: +44.8) | OL: 2.0/5 | %RB1: 67% | Luck: +13.3pts
24,Breece Hall,NYJ,RB,Tier T4,[💥EXODIA][TIER 4][🥈SILVER] FP: 209.8pts (VORP: +44.0) | OL: 3.0/5 | %RB1: 61%
25,A.J. Brown,NE,WR,Tier T4,[🎯TARGET][TIER 2][💲CONTRACT] FP: 182.4pts (VORP: +41.0) | OL: 3.0/5
26,Tee Higgins,CIN,WR,Tier T4,[💥EXODIA][TIER 4] FP: 182.3pts (VORP: +39.8) | OL: 3.0/5 | Luck: +14.7pts
27,Chris Olave,NO,WR,Tier T4,[🎯TARGET][TIER 2][💲CONTRACT] FP: 184.9pts (VORP: +37.1) | OL: 3.0/5 | Luck: +23.5pts
28,DeVonta Smith,PHI,WR,Tier T4,[🎯TARGET][TIER 3] FP: 172.3pts (VORP: +36.0) | OL: 4.0/5 | Luck: +10.1pts
29,George Pickens,DAL,WR,Tier T4,[⚠️DIRTY 30][TIER 2][🔬TALENT 91] FP: 179.9pts (VORP: +34.7) | OL: 4.0/5
30,Kyren Williams,LAR,RB,Tier T4,[⚠️DIRTY 30][TIER 4][⛏️GOLD DIGGER] FP: 202.4pts (VORP: +34.1) | OL: 4.5/5 | %RB1: 76%
31,Josh Allen,BUF,QB,Tier T4,[🎯TARGET][TIER 1][🔬TALENT 99] FP: 335.9pts (VORP: +32.3) | OL: 4.5/5
32,Ladd McConkey,LAC,WR,Tier T4,[🎯TARGET][TIER 4][🔥CATALYST] New OC | FP: 169.3pts (VORP: +30.5) | OL: 3.0/5 | Luck: +10.0pts
33,Rashee Rice,KC,WR,Tier T5,[🟡PASS][TIER 3][💲CONTRACT] FP: 186.8pts (VORP: +27.6) | OL: 3.0/5
34,Malik Nabers,NYG,WR,Tier T5,[🎯TARGET][TIER 3] FP: 167.6pts (VORP: +24.9) | OL: 3.0/5
35,Trey McBride,ARI,TE,Tier T5,[⚠️DIRTY 30][TIER 1][🔬TALENT 96] FP: 156.3pts (VORP: +23.9) | OL: 3.0/5
36,Javonte Williams,DAL,RB,Tier T5,[👑GURU 12][TIER 4] FP: 203.3pts (VORP: +22.5) | OL: 4.0/5 | %RB1: 67%
37,Tyler Warren,IND,TE,Tier T5,[💥EXODIA][TIER 2] FP: 147.8pts (VORP: +22.0) | OL: 4.5/5
38,Colston Loveland,CHI,TE,Tier T5,[🎯TARGET][TIER 2][🔥CATALYST][🔬TALENT 93] Role Increase (Qualifies as New Situation) | FP: 149.4pts (VORP: +20.6) | OL: 4.0/5
39,Garrett Wilson,NYJ,WR,Tier T5,[🟡PASS][TIER 4] FP: 175.6pts (VORP: +20.5) | OL: 3.0/5
40,Cam Skattebo,NYG,RB,Tier T5,[💥EXODIA][TIER 5][🔥CATALYST][⛏️GOLD STD] New Situation + O/S Top 12 RBs | FP: 164.5pts (VORP: +20.2) | OL: 3.0/5 | %RB1: 56%
41,Jameson Williams,DET,WR,Tier T5,[💤SLEEPER][TIER 5] FP: 167.2pts (VORP: +19.7) | OL: 3.5/5
42,David Montgomery,HOU,RB,Tier T5,[💥EXODIA][TIER 5][🔥CATALYST][🥈SILVER] New Situation + O/S Top 12 RBs | FP: 202.7pts (VORP: +18.0) | OL: 3.0/5 | %RB1: 52% | Luck: -14.7pts
43,Jaylen Waddle,DEN,WR,Tier T5,[💥EXODIA][TIER 4][🔥CATALYST] New Team / New QB | FP: 155.7pts (VORP: +15.9) | OL: 5.0/5 | Luck: +17.1pts
44,Terry McLaurin,WAS,WR,Tier T5,[👑GURU 12][TIER 5] FP: 160.7pts (VORP: +14.8) | OL: 2.0/5
45,Drake Maye,NE,QB,Tier T5,[🎯TARGET][TIER 2][🔥CATALYST] Weapon Upgrades | FP: 306.0pts (VORP: +13.1) | OL: 3.0/5
46,Luther Burden III,CHI,WR,Tier T5,[💥EXODIA][TIER 5][🔥CATALYST][🔬TALENT 93] New/Elevated Role | FP: 148.8pts (VORP: +12.1) | OL: 4.0/5 | Luck: -13.4pts
47,Davante Adams,LAR,WR,Tier T6,[⚠️DIRTY 30][TIER 5] FP: 171.1pts (VORP: +12.0) | OL: 4.5/5 | Luck: +17.5pts
48,Emeka Egbuka,TB,WR,Tier T6,[⚠️DIRTY 30][TIER 4][🔥CATALYST] New OC / Role | FP: 160.3pts (VORP: +11.3) | OL: 4.0/5
49,Christian Watson,GB,WR,Tier T6,[💥EXODIA][TIER 5] FP: 158.5pts (VORP: +10.8) | OL: 2.0/5
50,Lamar Jackson,BAL,QB,Tier T6,[🚫AVOID][TIER 1][🔬TALENT 92] FP: 312.2pts (VORP: +10.1) | OL: 3.0/5 | 2-WR: 60% | Luck: +21.0pts
51,D'Andre Swift,CHI,RB,Tier T6,[🎯TARGET][TIER 5][⚠️FOOL'S GOLD] FP: 187.0pts (VORP: +9.3) | OL: 4.0/5 | %RB1: 63%
52,Travis Etienne Jr.,NO,RB,Tier T6,[⚠️DIRTY 30][TIER 5][🔥CATALYST][🥈SILVER] New Situation + O/S Top 12 RBs | FP: 181.3pts (VORP: +9.3) | OL: 3.0/5 | %RB1: 66% | Luck: -11.8pts
53,Quinshon Judkins,CLE,RB,Tier T6,[⚠️DIRTY 30][TIER 5][🔥CATALYST][🥈SILVER] New Situation + O/S Top 12 RBs | FP: 189.2pts (VORP: +9.0) | OL: 2.0/5 | %RB1: 58% | 2-WR: 47%
54,Tetairoa McMillan,CAR,WR,Tier T6,[⚠️DIRTY 30][TIER 4] FP: 154.9pts (VORP: +8.9) | OL: 3.0/5
55,Jalen Hurts,PHI,QB,Tier T6,[🎯TARGET][TIER 2] FP: 303.4pts (VORP: +8.7) | OL: 4.0/5
56,Parker Washington,JAC,WR,Tier T6,[💥EXODIA][TIER 6][💲CONTRACT] FP: 152.9pts (VORP: +8.5) | OL: 4.0/5
57,Rome Odunze,CHI,WR,Tier T6,[🎯TARGET][TIER 5][⭐TOP OFFENSE] #10 Bears Offense - Most Undervalued Asset | FP: 151.4pts (VORP: +7.1) | OL: 4.0/5
58,Rhamondre Stevenson,NE,RB,Tier T6,[🎯TARGET][TIER 7][🥈SILVER] FP: 181.7pts (VORP: +7.1) | OL: 3.0/5 | %RB1: 60% | Screen #4 | Luck: +18.3pts
59,Jayden Daniels,WAS,QB,Tier T6,[🎯TARGET][TIER 2] FP: 309.0pts (VORP: +5.1) | OL: 2.0/5 | Luck: +12.4pts
60,Mike Evans,SF,WR,Tier T6,[💥EXODIA][TIER 5] FP: 161.9pts (VORP: +4.7) | OL: 4.0/5 | 2-WR: 48%
61,DJ Moore,BUF,WR,Tier T6,[🎯TARGET][TIER 5][⭐TOP OFFENSE] #2 Bills Offense - Most Undervalued Asset | FP: 150.1pts (VORP: +4.3) | OL: 4.5/5 | Luck: -16.2pts
62,Kyle Pitts Sr.,ATL,TE,Tier T6,[🟡PASS][TIER 3] FP: 132.5pts (VORP: +4.2) | OL: 4.0/5 | 2-WR: 54%
63,Sam LaPorta,DET,TE,Tier T6,[👑GURU 12][TIER 3][💲CONTRACT][🔬TALENT 95] FP: 131.9pts (VORP: +4.0) | OL: 3.5/5
64,Harold Fannin Jr.,CLE,TE,Tier T6,[🎯TARGET][TIER 3][🔥CATALYST] New Situation | FP: 125.4pts (VORP: +3.5) | OL: 2.0/5 | 2-WR: 47%
65,Brian Thomas Jr.,JAC,WR,Tier T6,[🎯TARGET][TIER 6] FP: 149.6pts (VORP: +3.0) | OL: 4.0/5 | Luck: +11.1pts
66,Houston Texans,HOU,DST,Tier T6,[TIER 8] FP: 103.0pts (VORP: +1.5) | OL: 3.0/5
67,Los Angeles Rams,LAR,DST,Tier T6,[TIER 8] FP: 102.7pts (VORP: +1.4) | OL: 4.5/5
68,Brandon Aubrey,DAL,K,Tier T6,[🎯TARGET][TIER 8] FP: 136.9pts (VORP: +1.2) | OL: 4.0/5
