Rank,Player,Team,Position,Tier,Notes
1,Jahmyr Gibbs,DET,RB,Tier 1,"🏆 LEAGUE WINNER | +161.4 VORP"
2,Bijan Robinson,ATL,RB,Tier 1,"🏆 LEAGUE WINNER | +150.7 VORP"
3,Jonathan Taylor,IND,RB,Tier 2,"🚀 HIGH CEILING | +120.1 VORP"
4,Puka Nacua,LAR,WR,Tier 1,"🏆 LEAGUE WINNER | +117.7 VORP"
5,Christian McCaffrey,SF,RB,Tier 2,"⚠️ TRAP RISK | +108.7 VORP"
6,James Cook III,BUF,RB,Tier 2,"🚀 HIGH CEILING | +96.8 VORP"
7,Ja'Marr Chase,CIN,WR,Tier 1,"🚀 HIGH CEILING | +90.9 VORP"
8,Saquon Barkley,PHI,RB,Tier 3,"🏆 LEAGUE WINNER | +87.4 VORP"
9,Jaxon Smith-Njigba,SEA,WR,Tier 1,"🏆 LEAGUE WINNER | +87.2 VORP"
10,De'Von Achane,MIA,RB,Tier 3,"⚠️ TRAP RISK | +86.0 VORP"
11,Derrick Henry,BAL,RB,Tier 3,"🚀 HIGH CEILING | +79.6 VORP"
12,Amon-Ra St. Brown,DET,WR,Tier 2,"🚀 HIGH CEILING | +76.6 VORP"
13,Kenneth Walker III,KC,RB,Tier 3,"👑 EXODIA | +71.9 VORP"
14,CeeDee Lamb,DAL,WR,Tier 2,"⚠️ TRAP RISK | +64.6 VORP"
15,Justin Jefferson,MIN,WR,Tier 2,"🚀 HIGH CEILING | +63.1 VORP"
16,Josh Jacobs,GB,RB,Tier 4,"🎯 SAFE FLOOR | +58.0 VORP"
17,Chase Brown,CIN,RB,Tier 3,"👑 EXODIA | +57.8 VORP"
18,Breece Hall,NYJ,RB,Tier 4,"👑 EXODIA | +54.7 VORP"
19,Josh Allen,BUF,QB,Tier 1,"🚀 HIGH CEILING | +49.6 VORP"
20,Omarion Hampton,LAC,RB,Tier 3,"👑 EXODIA | +48.9 VORP"
21,David Montgomery,HOU,RB,Tier 4,"👑 EXODIA | +48.8 VORP"
22,Javonte Williams,DAL,RB,Tier 4,"🚀 HIGH CEILING | +47.9 VORP"
23,Drake London,ATL,WR,Tier 2,"👑 EXODIA | +47.5 VORP"
24,Kyren Williams,LAR,RB,Tier 4,"⚠️ TRAP RISK | +47.4 VORP"
25,Ashton Jeanty,LV,RB,Tier 3,"👑 EXODIA | +44.7 VORP"
26,Brock Bowers,LV,TE,Tier 1,"👑 EXODIA | +44.5 VORP"
27,Rashee Rice,KC,WR,Tier 3,"🚀 HIGH CEILING | +43.1 VORP"
28,Nico Collins,HOU,WR,Tier 2,"🎯 SAFE FLOOR | +41.0 VORP"
29,Chris Olave,NO,WR,Tier 2,"📊 CONSENSUS | +41.0 VORP"
30,Tee Higgins,CIN,WR,Tier 4,"👑 EXODIA | +38.8 VORP"
31,A.J. Brown,NE,WR,Tier 2,"🚀 HIGH CEILING | +38.1 VORP"
32,George Pickens,DAL,WR,Tier 2,"⚠️ TRAP RISK | +35.8 VORP"
33,Quinshon Judkins,CLE,RB,Tier 5,"⚠️ TRAP RISK | +34.1 VORP"
34,Bucky Irving,TB,RB,Tier 5,"⚠️ TRAP RISK | +34.0 VORP"
35,Bhayshul Tuten,JAX,RB,Tier 5,"👑 EXODIA | +33.6 VORP"
36,D'Andre Swift,CHI,RB,Tier 5,"🚀 HIGH CEILING | +32.9 VORP"
37,Zay Flowers,BAL,WR,Tier 4,"🎯 SAFE FLOOR | +32.2 VORP"
38,Garrett Wilson,NYJ,WR,Tier 4,"🚀 HIGH CEILING | +30.7 VORP"
39,Jeremiyah Love,ARI,RB,Tier 5,"⚠️ TRAP RISK | +30.3 VORP"
40,DeVonta Smith,PHI,WR,Tier 3,"🏆 LEAGUE WINNER | +29.5 VORP"
41,Lamar Jackson,BAL,QB,Tier 1,"⚠️ TRAP RISK | +29.3 VORP"
42,Jayden Daniels,WAS,QB,Tier 2,"🚀 HIGH CEILING | +29.1 VORP"
43,Trey McBride,ARI,TE,Tier 1,"⚠️ TRAP RISK | +28.1 VORP"
44,Rhamondre Stevenson,NE,RB,Tier 6,"🚀 HIGH CEILING | +27.1 VORP"
45,Davante Adams,LAR,WR,Tier 5,"⚠️ TRAP RISK | +26.9 VORP"
46,Ladd McConkey,LAC,WR,Tier 4,"🏆 LEAGUE WINNER | +26.1 VORP"
47,Travis Etienne Jr.,NO,RB,Tier 5,"⚠️ TRAP RISK | +25.6 VORP"
48,Drake Maye,NE,QB,Tier 2,"🚀 HIGH CEILING | +25.5 VORP"
49,Jalen Hurts,PHI,QB,Tier 2,"🏆 LEAGUE WINNER | +25.1 VORP"
50,Colston Loveland,CHI,TE,Tier 2,"🏆 LEAGUE WINNER | +24.0 VORP"
51,Malik Nabers,NYG,WR,Tier 3,"📊 CONSENSUS | +23.7 VORP"
52,Jameson Williams,DET,WR,Tier 4,"⚠️ TRAP RISK | +22.9 VORP"
53,Tyler Warren,IND,TE,Tier 2,"👑 EXODIA | +22.1 VORP"
54,Dak Prescott,DAL,QB,Tier 3,"🚀 HIGH CEILING | +19.0 VORP"
55,Mike Evans,SF,WR,Tier 5,"👑 EXODIA | +18.0 VORP"
56,Joe Burrow,CIN,QB,Tier 2,"⚠️ TRAP RISK | +17.7 VORP"
57,Terry McLaurin,WAS,WR,Tier 5,"🏆 LEAGUE WINNER | +17.4 VORP"
58,Emeka Egbuka,TB,WR,Tier 5,"⚠️ TRAP RISK | +16.5 VORP"
59,Christian Watson,GB,WR,Tier 5,"👑 EXODIA | +15.2 VORP"
60,Jaylen Waddle,DEN,WR,Tier 4,"👑 EXODIA | +11.6 VORP"
61,Cam Skattebo,NYG,RB,Tier 6,"👑 EXODIA | +10.3 VORP"
62,Parker Washington,JAX,WR,Tier 5,"👑 EXODIA | +9.5 VORP"
63,Tetairoa McMillan,CAR,WR,Tier 4,"⚠️ TRAP RISK | +9.5 VORP"
64,Trevor Lawrence,JAX,QB,Tier 3,"🏆 LEAGUE WINNER | +9.4 VORP"
65,Rome Odunze,CHI,WR,Tier 5,"🏆 LEAGUE WINNER | +8.8 VORP"
66,Jaylen Warren,PIT,RB,Tier 6,"⚠️ TRAP RISK | +8.7 VORP"
67,Justin Herbert,LAC,QB,Tier 3,"🏆 LEAGUE WINNER | +8.6 VORP"
