Rank,Player,Position,Team,Notes
1,Jahmyr Gibbs,RB,DET,🎯[SMASH TARGET] 🟣[Yahoo ADP 1.4] | VORP: +189.2 | Proj: 335.5pts | ⭐ Top-10 Eco (Drew Petzing) • OL #16 • 👑 Elite GL Run (74% Run - Gibbs/Monty TDs) • 👑 3-Down Bellcow • 💰 Contract Yr
2,Bijan Robinson,RB,ATL,🎯[SMASH TARGET] 🟣[Yahoo ADP 1.9] | VORP: +174.3 | Proj: 320.7pts | Scheme: Kevin Stefanski/Rees • OL #11 • 👑 Elite GL Run (70% Run - Bijan TDs) • 👑 3-Down Bellcow • 💰 Contract Yr
3,Jonathan Taylor,RB,IND,🎯[SMASH TARGET] 🟣[Yahoo ADP 6.9] | VORP: +137.2 | Proj: 283.5pts | Scheme: Shane Steichen • OL #10 • 👑 Elite GL Run (69% Run - JT TDs) • ⚡ Goal-Line Anchor
4,Puka Nacua,WR,LAR,🎯[SMASH TARGET] 🟣[Yahoo ADP 4.8] | VORP: +130.1 | Proj: 268.8pts | ⭐ Top-10 Eco (Sean McVay) • 🛡️ Top-5 OL (#3) • 🎯 Pass-Funnel RZ (58% Pass) • 🟢 Green Schedule (≤2 Shadows) • 💰 Contract Yr
5,Ja'Marr Chase,WR,CIN,🎯[SMASH TARGET] 🟣[Yahoo ADP 3.4] | VORP: +123.4 | Proj: 262.1pts | ⭐ Top-10 Eco (Zac Taylor) • ⚠️ Bad OL (#28) • 🎯 Pass-Funnel RZ (65% Pass)
6,Christian McCaffrey,RB,SF,🎯[SMASH TARGET] 🟣[Yahoo ADP 5.6] | VORP: +112.1 | Proj: 258.4pts | ⭐ Top-10 Eco (Kyle Shanahan) • OL #6 • 👑 Elite GL Run (68% Run - CMC TDs)
7,James Cook III,RB,BUF,🎯[SMASH TARGET] 🟣[Yahoo ADP 9.8] | VORP: +110.6 | Proj: 256.9pts | ⭐ Top-10 Eco (Joe Brady) • OL #7
8,Jaxon Smith-Njigba,WR,SEA,🎯[SMASH TARGET] 🟣[Yahoo ADP 6.8] | VORP: +105.3 | Proj: 244.0pts | Scheme: Brian Fleury • 🎯 Target Funnel (47% 2-WR)
9,Amon-Ra St. Brown,WR,DET,🎯[SMASH TARGET] 🟣[Yahoo ADP 7.9] | VORP: +103.6 | Proj: 242.4pts | ⭐ Top-10 Eco (Drew Petzing)
10,Saquon Barkley,RB,PHI,🎯[SMASH TARGET] 🟣[Yahoo ADP 12.1] | VORP: +100.4 | Proj: 246.7pts | ⭐ Top-10 Eco (Sean Mannion) • 🛡️ Top-5 OL (#2) • 👑 Elite GL Run (78% Run - Saquon/Hurts TDs)
11,Kenneth Walker III,RB,KC,💥[EXODIA MUST-HAVE] 🟣[Yahoo ADP 16.4] | VORP: +96.1 | Proj: 242.4pts | ⭐ Top-10 Eco (Andy Reid) • OL #21 • 👑 3-Down Bellcow
