Rank,Player,Team,Position,Tier
1,Jahmyr Gibbs,DET,RB,Tier 1
2,Bijan Robinson,ATL,RB,Tier 1
3,Puka Nacua,LAR,WR,Tier 1
4,Jonathan Taylor,IND,RB,Tier 2
5,Jaxon Smith-Njigba,SEA,WR,Tier 1
6,Ja'Marr Chase,CIN,WR,Tier 1
7,Christian McCaffrey,SF,RB,Tier 2
8,James Cook III,BUF,RB,Tier 2
9,Amon-Ra St. Brown,DET,WR,Tier 2
10,Saquon Barkley,PHI,RB,Tier 3
11,CeeDee Lamb,DAL,WR,Tier 2
12,Chase Brown,CIN,RB,Tier 3
13,Kenneth Walker III,KC,RB,Tier 3
14,Justin Jefferson,MIN,WR,Tier 2
15,Omarion Hampton,LAC,RB,Tier 3
16,Brock Bowers,LV,TE,Tier 1
17,Drake London,ATL,WR,Tier 2
18,Derrick Henry,BAL,RB,Tier 3
19,De'Von Achane,MIA,RB,Tier 3
20,A.J. Brown,NE,WR,Tier 2
21,Nico Collins,HOU,WR,Tier 2
22,Ashton Jeanty,LV,RB,Tier 3
23,Josh Allen,BUF,QB,Tier 1
24,Chris Olave,NO,WR,Tier 2
25,George Pickens,DAL,WR,Tier 2
26,DeVonta Smith,PHI,WR,Tier 3
27,Rashee Rice,KC,WR,Tier 3
28,Zay Flowers,BAL,WR,Tier 4
29,Malik Nabers,NYG,WR,Tier 3
30,Tee Higgins,CIN,WR,Tier 4
31,Kyren Williams,LAR,RB,Tier 4
32,Trey McBride,ARI,TE,Tier 1
33,Breece Hall,NYJ,RB,Tier 4
34,Javonte Williams,DAL,RB,Tier 4
35,Colston Loveland,CHI,TE,Tier 2
36,Ladd McConkey,LAC,WR,Tier 4
37,Josh Jacobs,GB,RB,Tier 4
38,Lamar Jackson,BAL,QB,Tier 1
39,Garrett Wilson,NYJ,WR,Tier 4
40,Emeka Egbuka,TB,WR,Tier 5
41,D'Andre Swift,CHI,RB,Tier 5
42,Jaylen Waddle,DEN,WR,Tier 4
43,Jeremiyah Love,ARI,RB,Tier 5
44,Terry McLaurin,WAS,WR,Tier 5
45,Drake Maye,NE,QB,Tier 2
46,Luther Burden III,CHI,WR,Tier 5
47,David Montgomery,HOU,RB,Tier 4
48,Tetairoa McMillan,CAR,WR,Tier 4
49,Davante Adams,LAR,WR,Tier 5
50,Travis Etienne Jr.,NO,RB,Tier 5
51,Tyler Warren,IND,TE,Tier 2
52,Joe Burrow,CIN,QB,Tier 2
53,Bucky Irving,TB,RB,Tier 5
54,Cam Skattebo,NYG,RB,Tier 6
55,Quinshon Judkins,CLE,RB,Tier 5
56,Jalen Hurts,PHI,QB,Tier 2
57,Bhayshul Tuten,JAX,RB,Tier 5
58,Sam LaPorta,DET,TE,Tier 3
59,DJ Moore,BUF,WR,Tier 6
60,Jameson Williams,DET,WR,Tier 4
61,Jayden Daniels,WAS,QB,Tier 2
62,Mike Evans,SF,WR,Tier 5
63,Rome Odunze,CHI,WR,Tier 5
64,Tucker Kraft,GB,TE,Tier 4
65,Christian Watson,GB,WR,Tier 5
66,TreVeyon Henderson,NE,RB,Tier 7
67,Caleb Williams,CHI,QB,Tier 4
68,Kyle Pitts,ATL,TE,Tier 3
69,Jadarian Price,SEA,RB,Tier 8
70,Dak Prescott,DAL,QB,Tier 3
71,Parker Washington,JAX,WR,Tier 5
72,Justin Herbert,LAC,QB,Tier 3
73,Brian Thomas Jr.,JAX,WR,Tier 6
74,Rhamondre Stevenson,NE,RB,Tier 6
