player_name,clean_name,duracell_ecr,duracell_tier,duracell_tier_tag,risk_rating,volatility_index,is_contract_year,contract_year_value,contract_prev_ppg,rb_tough_matchups,rb_playoff_toughness,wr_shadow_cb_count,wr_coverage_score
Jahmyr Gibbs,jahmyr gibbs,1,1,guy,1.6,Low (High Floor Alpha),1,1,21.6,1.0,1.0,,
Bijan Robinson,bijan robinson,2,1,guy,1.6,Low (High Floor Alpha),1,1,21.7,1.0,1.0,,
Ja'Marr Chase,jamarr chase,3,1,consensus,2.5,Medium,0,0,,,,6.0,0.0
Puka Nacua,puka nacua,4,1,consensus,2.5,Medium,1,1,23.4,,,2.0,2.0
Jonathan Taylor,jonathan taylor,5,1,dragon,3.8,High (Elite Ceiling),0,0,,4.0,0.0,,
Jaxon Smith-Njigba,jaxon smithnjigba,6,1,consensus,2.5,Medium,0,0,,,,6.0,0.0
Christian McCaffrey,christian mccaffrey,7,1,consensus,2.5,Medium,0,0,,3.0,1.0,,
Ashton Jeanty,ashton jeanty,8,1,dragon,3.8,High (Elite Ceiling),0,0,,4.0,1.0,,
Amon-Ra St.Brown,amonra st brown,9,1,guy,1.6,Low (High Floor Alpha),0,0,,,,4.0,2.0
Saquon Barkley,saquon barkley,10,1,guy,1.6,Low (High Floor Alpha),0,0,,3.0,2.0,,
James Cook III,james cook iii,11,1,consensus,2.5,Medium,0,0,,,,,
Justin Jefferson,justin jefferson,12,1,consensus,2.5,Medium,0,0,,,,4.0,3.0
Omarion Hampton,omarion hampton,13,2,guy,1.6,Low (High Floor Alpha),0,0,,5.0,0.0,,
CeeDee Lamb,ceedee lamb,14,2,fade,4.2,High (Overpriced Bust Risk),0,0,,,,5.0,1.0
Drake London,drake london,15,2,guy,1.6,Low (High Floor Alpha),1,1,16.7,,,4.0,0.0
De'Von Achane,devon achane,16,2,fade,4.2,High (Overpriced Bust Risk),1,0,20.2,2.0,0.0,,
Brock Bowers,brock bowers,17,2,dragon,3.8,High (Elite Ceiling),0,0,,,,,
