fp_pos_rank_num,fp_pos_rank,player_name,position,team,bye,fp_tier,fp_auction_value
1,QB1,Josh Allen,QB,BUF,7,1,$31+
2,QB2,Lamar Jackson,QB,BLT,13,2,$19-21
3,QB3,Jayden Daniels,QB,WAS,7,2,$16-18
4,QB4,Drake Maye,QB,NE,11,2,$15-17
5,QB5,Jalen Hurts,QB,PHI,10,2,$13-15
6,QB6,Joe Burrow,QB,CIN,6,3,$12-14
7,QB7,Dak Prescott,QB,DAL,14,3,$10-12
8,QB8,Trevor Lawrence,QB,JAX,7,3,$5-7
9,QB9,Justin Herbert,QB,LAC,7,4,$5-7
10,QB10,Brock Purdy,QB,SF,8,4,$4-6
11,QB11,Jaxson Dart,QB,NYG,8,4,$3-5
12,QB12,Caleb Williams,QB,CHI,10,4,$2-4
13,QB13,Matthew Stafford,QB,LA,11,4,$1-3
14,QB14,Bo Nix,QB,DEN,10,4,$1-3
15,QB15,Patrick Mahomes,QB,KC,5,4,$1-3
16,QB16,Malik Willis,QB,MIA,6,4,$1
17,QB17,Tyler Shough,QB,NO,8,5,$1
18,QB18,Jared Goff,QB,DET,6,5,$1
19,QB19,Kyler Murray,QB,MIN,6,5,$1
20,QB20,Jordan Love,QB,GB,11,5,$1
21,QB21,Baker Mayfield,QB,TB,10,5,$1
22,QB22,Sam Darnold,QB,SEA,11,6,$1
23,QB23,C.J. Stroud,QB,HST,8,6,$1
24,QB24,Daniel Jones,QB,IND,13,6,$1
25,QB25,Jacoby Brissett,QB,ARZ,14,7,$1
26,QB26,Geno Smith,QB,NYJ,13,7,$1
27,QB27,Bryce Young,QB,CAR,5,8,WW
28,QB28,Aaron Rodgers,QB,PIT,9,8,WW
29,QB29,Cam Ward,QB,TEN,9,8,WW
30,QB30,Deshaun Watson,QB,CLV,11,9,WW
31,QB31,Fernando Mendoza,QB,LV,13,10,WW
32,QB32,Tua Tagovailoa,QB,ATL,11,11,WW
33,QB33,Michael Penix Jr.,QB,ATL,11,11,WW
34,QB34,Kirk Cousins,QB,LV,13,12,WW
35,QB35,J.J. McCarthy,QB,MIN,6,13,WW
36,QB36,Shedeur Sanders,QB,CLV,11,13,WW
37,QB37,Jameis Winston,QB,NYG,8,13,WW
38,QB38,Carson Beck,QB,ARZ,14,13,WW
39,QB39,Marcus Mariota,QB,WAS,7,13,WW
40,QB40,Justin Fields,QB,KC,5,13,WW
41,QB41,Tyson Bagent,QB,CHI,10,13,WW
42,QB42,Tanner McKee,QB,PHI,10,13,WW
43,QB43,Josh Johnson,QB,CIN,6,13,WW
44,QB44,Joe Milton III,QB,DAL,14,14,WW
45,QB45,Mac Jones,QB,SF,8,14,WW
1,RB1,Jahmyr Gibbs,RB,DET,6,1,$71+
2,RB2,Bijan Robinson,RB,ATL,11,1,$65-73
3,RB3,Jonathan Taylor,RB,IND,13,2,$57-65
4,RB4,Christian McCaffrey,RB,SF,8,2,$52-58
5,RB5,James Cook,RB,BUF,7,3,$49-55
6,RB6,Saquon Barkley,RB,PHI,10,3,$45-51
7,RB7,De'Von Achane,RB,MIA,6,3,$44-50
8,RB8,Derrick Henry,RB,BLT,13,4,$40-46
9,RB9,Kenneth Walker III,RB,KC,5,4,$38-42
10,RB10,Josh Jacobs,RB,GB,11,4,$30-34
11,RB11,Chase Brown,RB,CIN,6,4,$36-40
12,RB12,Breece Hall,RB,NYJ,13,4,$29-33
13,RB13,Javonte Williams,RB,DAL,14,5,$28-32
14,RB14,David Montgomery,RB,HST,8,5,$23-27
15,RB15,Kyren Williams,RB,LA,11,5,$27-31
16,RB16,Omarion Hampton,RB,LAC,7,5,$32-36
17,RB17,Ashton Jeanty,RB,LV,13,5,$34-38
18,RB18,Bucky Irving,RB,TB,10,6,$20-24
19,RB19,Quinshon Judkins,RB,CLV,11,6,$21-25
20,RB20,Bhayshul Tuten,RB,JAX,7,6,$19-23
21,RB21,D'Andre Swift,RB,CHI,10,6,$19-23
22,RB22,Jeremiyah Love,RB,ARZ,14,6,$26-30
23,RB23,Rhamondre Stevenson,RB,NE,11,6,$16-18
24,RB24,Travis Etienne,RB,NO,8,6,$20-24
25,RB25,Cam Skattebo,RB,NYG,8,7,$16-18
26,RB26,Jaylen Warren,RB,PIT,9,7,$11-13
27,RB27,Tony Pollard,RB,TEN,9,7,$11-13
28,RB28,TreVeyon Henderson,RB,NE,11,7,$11-13
29,RB29,Rico Dowdle,RB,PIT,9,7,$9-11
30,RB30,Jadarian Price,RB,SEA,11,8,$11-13
31,RB31,Chuba Hubbard,RB,CAR,5,8,$7-9
32,RB32,Kenny Gainwell,RB,TB,10,8,$6-8
33,RB33,Aaron Jones,RB,MIN,6,8,$5-7
34,RB34,Blake Corum,RB,LA,11,9,$1
35,RB35,Kyle Monangai,RB,CHI,10,9,$1
36,RB36,Jonathon Brooks,RB,CAR,5,9,$1-3
37,RB37,RJ Harvey,RB,DEN,10,9,$1
38,RB38,Rachaad White,RB,WAS,7,9,$1
39,RB39,Isiah Pacheco,RB,DET,6,10,$1
40,RB40,Tyjae Spears,RB,TEN,9,10,$1
41,RB41,J.K. Dobbins,RB,DEN,10,10,$1-3
42,RB42,Jacory Croskey-Merritt,RB,WAS,7,11,$1
43,RB43,Keaton Mitchell,RB,LAC,7,10,$1
44,RB44,Justice Hill,RB,BLT,13,10,$1
45,RB45,Dylan Sampson,RB,CLV,11,10,$1
46,RB46,Ty Johnson,RB,BUF,7,11,$1
47,RB47,Tyler Allgeier,RB,ARZ,14,12,$1
48,RB48,Samaje Perine,RB,CIN,6,12,$1
49,RB49,Brian Robinson,RB,ATL,11,12,$2-4
50,RB50,Zach Charbonnet,RB,SEA,11,12,$1
51,RB51,Mike Washington Jr.,RB,LV,13,12,$1
52,RB52,Woody Marks,RB,HST,8,12,$1
53,RB53,Jaydon Blue,RB,DAL,14,12,WW
54,RB54,Chris Rodriguez Jr.,RB,JAX,7,13,WW
55,RB55,Jonah Coleman,RB,DEN,10,12,WW
56,RB56,Jordan Mason,RB,MIN,6,13,$1
57,RB57,MarShawn Lloyd,RB,GB,11,13,WW
58,RB58,Alvin Kamara,RB,NO,8,13,WW
59,RB59,Tyrone Tracy Jr.,RB,NYG,8,13,WW
60,RB60,Emmett Johnson,RB,KC,5,13,WW
61,RB61,Isaiah Davis,RB,NYJ,13,13,WW
62,RB62,Demond Claiborne,RB,MIN,6,13,WW
63,RB63,Najee Harris,RB,NYG,8,13,WW
64,RB64,Jaylen Wright,RB,MIA,6,13,WW
65,RB65,LeQuint Allen Jr.,RB,JAX,7,13,WW
66,RB66,Kaytron Allen,RB,WAS,7,14,WW
67,RB67,George Holani,RB,SEA,11,13,WW
68,RB68,Chris Brooks,RB,GB,11,14,WW
69,RB69,Tank Bigsby,RB,PHI,10,14,WW
70,RB70,Ollie Gordon II,RB,MIA,6,14,WW
71,RB71,Ray Davis,RB,BUF,7,14,WW
72,RB72,Brashard Smith,RB,KC,5,14,WW
73,RB73,Seth McGowan,RB,IND,13,14,WW
74,RB74,Braelon Allen,RB,NYJ,13,14,WW
75,RB75,Jordan James,RB,SF,8,15,WW
76,RB76,Kaelon Black,RB,SF,8,15,WW
77,RB77,James Conner,RB,ARZ,14,14,WW
78,RB78,Tahj Brooks,RB,CIN,6,15,WW
79,RB79,DJ Giddens,RB,IND,13,15,WW
80,RB80,Nicholas Singleton,RB,TEN,9,15,WW
81,RB81,Emanuel Wilson,RB,SEA,11,15,WW
82,RB82,Trevor Etienne,RB,CAR,5,15,WW
83,RB83,Kyle Juszczyk,RB,SF,8,15,WW
84,RB84,Kimani Vidal,RB,LAC,7,15,WW
85,RB85,Devin Singletary,RB,NYG,8,15,WW
86,RB86,Will Shipley,RB,PHI,10,15,WW
87,RB87,Sean Tucker,RB,TB,10,15,WW
88,RB88,Kendre Miller,RB,NO,8,16,WW
89,RB89,Jawhar Jordan,RB,HST,8,16,WW
90,RB90,Zavier Scott,RB,MIN,6,15,WW
1,WR1,Puka Nacua,WR,LA,11,1,$55+
2,WR2,Ja'Marr Chase,WR,CIN,6,2,$48-54
3,WR3,Jaxon Smith-Njigba,WR,SEA,11,2,$45-51
4,WR4,Amon-Ra St. Brown,WR,DET,6,3,$42-48
5,WR5,CeeDee Lamb,WR,DAL,14,3,$38-42
6,WR6,Justin Jefferson,WR,MIN,6,4,$37-41
7,WR7,Drake London,WR,ATL,11,5,$35-39
8,WR8,Rashee Rice,WR,KC,5,5,$29-33
9,WR9,Chris Olave,WR,NO,8,5,$27-31
10,WR10,Nico Collins,WR,HST,8,5,$30-34
11,WR11,A.J. Brown,WR,NE,11,5,$28-32
12,WR12,Tee Higgins,WR,CIN,6,6,$23-27
13,WR13,George Pickens,WR,DAL,14,6,$27-31
14,WR14,Zay Flowers,WR,BLT,13,6,$22-26
15,WR15,Garrett Wilson,WR,NYJ,13,6,$22-26
16,WR16,DeVonta Smith,WR,PHI,10,6,$22-26
17,WR17,Davante Adams,WR,LA,11,6,$19-23
18,WR18,Ladd McConkey,WR,LAC,7,6,$19-23
19,WR19,Malik Nabers,WR,NYG,8,6,$22-26
20,WR20,Jameson Williams,WR,DET,6,7,$16-18
21,WR21,Mike Evans,WR,SF,8,7,$13-15
22,WR22,Terry McLaurin,WR,WAS,7,7,$15-17
23,WR23,Emeka Egbuka,WR,TB,10,7,$17-19
24,WR24,Christian Watson,WR,GB,11,7,$12-14
25,WR25,Jaylen Waddle,WR,DEN,10,7,$15-17
26,WR26,Tetairoa McMillan,WR,CAR,5,7,$16-18
27,WR27,Parker Washington,WR,JAX,7,7,$10-12
28,WR28,Rome Odunze,WR,CHI,10,7,$11-13
29,WR29,DJ Moore,WR,BUF,7,7,$10-12
30,WR30,Brian Thomas Jr.,WR,JAX,7,8,$8-10
31,WR31,Luther Burden III,WR,CHI,10,7,$10-12
32,WR32,DK Metcalf,WR,PIT,9,8,$7-9
33,WR33,Quentin Johnston,WR,LAC,7,8,$6-8
34,WR34,Courtland Sutton,WR,DEN,10,8,$7-9
35,WR35,Jakobi Meyers,WR,JAX,7,8,$6-8
36,WR36,Stefon Diggs,WR,WAS,7,8,$6-8
37,WR37,Michael Pittman,WR,PIT,9,7,$5-7
38,WR38,Jordan Addison,WR,MIN,6,9,$1-3
39,WR39,Carnell Tate,WR,TEN,9,8,$3-5
40,WR40,Jayden Reed,WR,GB,11,9,$1
41,WR41,Romeo Doubs,WR,NE,11,9,$1
42,WR42,Chris Godwin Jr.,WR,TB,10,9,$1
43,WR43,Marvin Harrison Jr.,WR,ARZ,14,10,$2-4
44,WR44,Cooper Kupp,WR,SEA,11,10,$1
45,WR45,Deebo Samuel Sr.,WR,SF,8,10,$1
46,WR46,Josh Downs,WR,IND,13,9,$1
47,WR47,Xavier Worthy,WR,KC,5,10,$1
48,WR48,Michael Wilson,WR,ARZ,14,10,$1-3
49,WR49,Matthew Golden,WR,GB,11,10,$1-3
50,WR50,Alec Pierce,WR,IND,13,11,$1-3
51,WR51,Jalen Coker,WR,CAR,5,10,$1
52,WR52,Makai Lemon,WR,PHI,10,10,$1
53,WR53,Tre Tucker,WR,LV,13,11,$1
54,WR54,Khalil Shakir,WR,BUF,7,10,$1
55,WR55,Jalen McMillan,WR,TB,10,11,$1
56,WR56,Dontayvion Wicks,WR,PHI,10,11,$1
57,WR57,Ryan Flournoy,WR,DAL,14,11,$1
58,WR58,Keenan Allen,WR,IND,13,10,$1
59,WR59,Jalen Nailor,WR,LV,13,11,$1
60,WR60,Wan'Dale Robinson,WR,TEN,9,11,$1
61,WR61,Rashid Shaheed,WR,SEA,11,11,$1
62,WR62,Jerry Jeudy,WR,CLV,11,11,$1
63,WR63,Adonai Mitchell,WR,NYJ,13,12,$1
64,WR64,KC Concepcion,WR,CLV,11,11,$1
65,WR65,Rashod Bateman,WR,BLT,13,12,$1
66,WR66,Jauan Jennings,WR,MIN,6,12,$1
67,WR67,Caleb Douglas,WR,MIA,6,12,$1
68,WR68,Calvin Ridley,WR,TEN,9,12,$1
69,WR69,Devaughn Vele,WR,NO,8,12,$1
70,WR70,KaVontae Turpin,WR,DAL,14,13,$1
71,WR71,Denzel Boston,WR,CLV,11,12,$1
72,WR72,Kayshon Boutte,WR,HST,8,12,$1
73,WR73,Jordyn Tyson,WR,NO,8,13,$1
74,WR74,Jaylin Noel,WR,HST,8,13,$1
75,WR75,Tre Harris,WR,LAC,7,13,$1
76,WR76,Malik Washington,WR,MIA,6,12,$1
77,WR77,Marvin Mims Jr.,WR,DEN,10,13,$1
78,WR78,De'Zhaun Stribling,WR,SF,8,13,$1
79,WR79,Omar Cooper Jr.,WR,NYJ,13,13,$1
80,WR80,Malachi Fields,WR,NYG,8,13,WW
81,WR81,Kendrick Bourne,WR,ARZ,14,13,WW
82,WR82,Tank Dell,WR,HST,8,13,WW
83,WR83,Pat Bryant,WR,DEN,10,13,WW
84,WR84,Ja'Kobi Lane,WR,BLT,13,14,WW
85,WR85,Xavier Legette,WR,CAR,5,13,WW
86,WR86,Tyquan Thornton,WR,KC,5,14,WW
87,WR87,Germie Bernard,WR,PIT,9,14,WW
88,WR88,Isaac TeSlaa,WR,DET,6,14,WW
89,WR89,Jahan Dotson,WR,ATL,11,14,WW
90,WR90,Keon Coleman,WR,BUF,7,14,WW
1,TE1,Brock Bowers,TE,LV,13,1,$30+
2,TE2,Trey McBride,TE,ARZ,14,1,$22-26
3,TE3,Colston Loveland,TE,CHI,10,2,$16-18
4,TE4,Tyler Warren,TE,IND,13,2,$14-16
5,TE5,Kyle Pitts,TE,ATL,11,3,$6-8
6,TE6,Sam LaPorta,TE,DET,6,3,$5-7
7,TE7,Travis Kelce,TE,KC,5,3,$3-5
8,TE8,Dallas Goedert,TE,PHI,10,3,$2-4
9,TE9,Harold Fannin Jr.,TE,CLV,11,3,$2-4
10,TE10,Jake Ferguson,TE,DAL,14,3,$1-3
11,TE11,George Kittle,TE,SF,8,3,$1-3
12,TE12,Tucker Kraft,TE,GB,11,3,$2-4
13,TE13,Mark Andrews,TE,BLT,13,3,$1
14,TE14,Juwan Johnson,TE,NO,8,4,$1
15,TE15,Brenton Strange,TE,JAX,7,4,$1
16,TE16,Dalton Schultz,TE,HST,8,4,$1
17,TE17,Dalton Kincaid,TE,BUF,7,5,$1
18,TE18,Hunter Henry,TE,NE,11,5,$1
19,TE19,T.J. Hockenson,TE,MIN,6,5,$1
20,TE20,Charlie Kolar,TE,LAC,7,5,$1
21,TE21,Isaiah Likely,TE,NYG,8,5,$1
22,TE22,Cade Otton,TE,TB,10,5,$1
23,TE23,AJ Barner,TE,SEA,11,6,$1
24,TE24,Chig Okonkwo,TE,WAS,7,6,$1
25,TE25,Pat Freiermuth,TE,PIT,9,6,$1
26,TE26,Jonnu Smith,TE,FA,-,6,$1
27,TE27,Gunnar Helm,TE,TEN,9,6,$1
28,TE28,Evan Engram,TE,DEN,10,6,$1
29,TE29,Greg Dulcich,TE,MIA,6,7,$1
30,TE30,Michael Mayer,TE,LV,13,7,$1
31,TE31,Kenyon Sadiq,TE,NYJ,13,7,$1
32,TE32,Colby Parkinson,TE,LA,11,7,$1
33,TE33,Mason Taylor,TE,NYJ,13,7,$1
34,TE34,Mike Gesicki,TE,CIN,6,7,$1
35,TE35,Theo Johnson,TE,NYG,8,7,$1
36,TE36,Dawson Knox,TE,BUF,7,8,WW
37,TE37,Cole Kmet,TE,CHI,10,7,WW
38,TE38,Darnell Washington,TE,PIT,9,8,WW
39,TE39,David Njoku,TE,LAC,7,8,WW
40,TE40,Terrance Ferguson,TE,LA,11,9,WW
41,TE41,Tyler Higbee,TE,LA,11,8,WW
42,TE42,Darren Waller,TE,CAR,5,9,WW
43,TE43,Noah Fant,TE,NO,8,9,WW
44,TE44,Oronde Gadsden II,TE,LAC,7,9,WW
45,TE45,Noah Gray,TE,KC,5,9,WW
46,TE46,Elijah Arroyo,TE,SEA,11,9,WW
47,TE47,Oscar Delp,TE,NO,8,9,WW
48,TE48,Elijah Higgins,TE,ARZ,14,9,WW
49,TE49,Jake Tonges,TE,SF,8,9,WW
50,TE50,Daniel Bellinger,TE,TEN,9,9,WW
51,TE51,Austin Hooper,TE,ATL,11,10,WW
52,TE52,Tanner Hudson,TE,CIN,6,10,WW
53,TE53,Drew Sample,TE,CIN,6,10,WW
54,TE54,Eli Raridon,TE,NE,11,10,WW
55,TE55,Josh Whyle,TE,GB,11,10,WW
56,TE56,Josh Oliver,TE,MIN,6,10,WW
57,TE57,Tommy Tremble,TE,CAR,5,10,WW
58,TE58,Will Kacmarek,TE,MIA,6,10,WW
59,TE59,Joe Royer,TE,CLV,11,10,WW
60,TE60,Ja'Tavion Sanders,TE,CAR,5,10,WW
