hansen_rank,player_name,team,bye,pos_adp,adp,hansen_fpts_per_game
1,Jahmyr Gibbs,DET,6,RB1,1.5,23.1
2,Bijan Robinson,ATL,11,RB2,2.8,21.9
3,Ja'Marr Chase,CIN,6,WR1,3.5,18.9
4,Puka Nacua,LAR,11,WR2,4.9,18.8
5,Jonathan Taylor,IND,13,RB4,7.2,20.6
6,Amon-Ra St. Brown,DET,6,WR4,8.6,18.1
7,Jaxon Smith-Njigba,SEA,11,WR3,6.9,16.8
8,CeeDee Lamb,DAL,14,WR5,8.9,16.9
9,James Cook III,BUF,7,RB5,10.5,18.1
10,Brock Bowers,LV,13,TE2,22.9,14.4
11,Justin Jefferson,MIN,6,WR6,11.2,15.6
12,Saquon Barkley,PHI,10,RB7,13.8,16.9
13,Omarion Hampton,LAC,7,RB9,15.4,17.0
14,De'Von Achane,MIA,6,RB6,12.6,17.1
15,Christian McCaffrey,SF,8,RB3,5.5,17.0
16,Derrick Henry,BAL,13,RB12,20.9,15.3
17,Chase Brown,CIN,6,RB10,17.0,16.4
18,A.J. Brown,NE,11,WR8,17.4,14.9
19,Stefon Diggs,WAS,7,WR47,115.2,10.9
20,Ashton Jeanty,LV,13,RB8,14.3,16.0
21,Kenneth Walker,KC,5,RB11,19.3,15.1
22,Javonte Williams,DAL,14,RB17,35.3,14.9
23,Nico Collins,HOU,8,WR10,25.8,14.9
24,George Pickens,DAL,14,WR9,24.2,14.8
25,Tee Higgins,CIN,6,WR14,34.5,14.5
26,Rashee Rice,KC,5,WR11,26.8,14.8
27,Drake London,ATL,11,WR7,16.3,14.8
28,Malik Nabers,NYG,8,WR12,28.6,14.6
29,Chris Olave,NO,8,WR13,30.9,14.7
30,Trey McBride,ARI,14,TE1,21.3,14.4
31,Kyren Williams,LAR,11,RB14,29.4,14.6
32,Josh Allen,BUF,7,QB1,23.1,22.8
33,Zay Flowers,BAL,13,WR19,42.1,14.3
34,DeVonta Smith,PHI,10,WR16,37.8,14.2
35,Tetairoa McMillan,CAR,5,WR15,35.4,13.9
36,David Montgomery,HOU,8,RB21,49.7,14.4
37,Breece Hall,NYJ,13,RB16,33.2,14.5
38,D'Andre Swift,CHI,10,RB24,55.2,14.3
39,Cam Skattebo,NYG,8,RB19,43.1,14.4
40,Josh Jacobs,GB,11,RB15,31.8,14.3
41,Jeremiyah Love,ARI,14,RB13,26.1,14.4
42,Colston Loveland,CHI,10,TE3,41.4,12.6
43,Tyler Warren,IND,13,TE4,46.3,12.7
44,Bucky Irving,TB,10,RB18,40.4,13.7
45,Travis Etienne Jr.,NO,8,RB20,44.2,13.8
46,Christian Watson,GB,11,WR30,70.1,13.4
47,Jameson Williams,DET,6,WR26,58.1,13.3
48,Ladd McConkey,LAC,7,WR17,38.6,13.5
49,Terry McLaurin,WAS,7,WR24,56.5,13.3
50,DJ Moore,BUF,7,WR25,57.8,13.3
51,Emeka Egbuka,TB,10,WR18,39.7,13.2
52,Drake Maye,NE,11,QB3,48.5,20.3
53,Lamar Jackson,BAL,13,QB2,32.0,19.5
54,Rome Odunze,CHI,10,WR29,66.9,13.0
55,Garrett Wilson,NYJ,13,WR20,44.5,13.5
56,Sam LaPorta,DET,6,TE5,59.0,11.3
57,Tucker Kraft,GB,11,TE6,65.6,11.2
58,Quinshon Judkins,CLE,11,RB22,53.9,13.2
59,Jadarian Price,SEA,11,RB26,68.0,13.3
60,Joe Burrow,CIN,6,QB4,52.6,19.4
61,Jayden Daniels,WAS,7,QB6,62.1,19.2
62,Mike Evans,SF,8,WR27,60.5,12.4
63,Parker Washington,JAX,7,WR34,76.4,12.5
64,Jaylen Waddle,DEN,10,WR21,47.6,12.6
65,Davante Adams,LAR,11,WR22,50.0,12.5
66,Brian Thomas Jr.,JAX,7,WR31,71.2,12.4
67,Luther Burden III,CHI,10,WR23,51.0,12.9
68,Kyle Pitts Sr.,ATL,11,TE8,69.1,11.1
69,Harold Fannin Jr.,CLE,11,TE7,67.2,11.3
70,George Kittle,SF,8,TE10,91.1,10.8
71,Rico Dowdle,PIT,9,RB32,88.2,13.1
72,Bhayshul Tuten,JAX,7,RB25,62.9,13.1
73,TreVeyon Henderson,NE,11,RB23,53.9,13.1
74,Rhamondre Stevenson,NE,11,RB30,83.1,13.3
75,Chuba Hubbard,CAR,5,RB28,77.0,12.6
76,Trevor Lawrence,JAX,7,QB12,98.0,19.1
77,Justin Herbert,LAC,7,QB9,82.7,19.0
78,Jalen Hurts,PHI,10,QB5,61.7,19.0
79,Dak Prescott,DAL,14,QB8,80.1,19.0
80,Caleb Williams,CHI,10,QB7,71.3,18.8
81,Tony Pollard,TEN,9,RB31,87.9,11.5
82,Jonathon Brooks,CAR,5,RB38,114.7,10.7
83,Blake Corum,LAR,11,RB35,103.5,10.0
84,Alec Pierce,IND,13,WR40,101.1,12.0
85,Jakobi Meyers,JAX,7,WR43,106.7,12.2
86,Marvin Harrison Jr.,ARI,14,WR33,75.0,11.9
87,De'Zhaun Stribling,SF,8,WR57,155.5,11.9
88,DK Metcalf,PIT,9,WR32,74.0,11.9
89,Michael Pittman Jr.,PIT,9,WR41,102.9,12.3
90,Chris Godwin Jr.,TB,10,WR39,95.3,11.9
91,Travis Kelce,KC,5,TE11,93.0,10.9
92,Dalton Kincaid,BUF,7,TE9,89.8,10.4
93,Jake Ferguson,DAL,14,TE12,100.4,10.5
94,Jordan Mason,MIN,6,RB39,116.5,10.0
95,Jacory Croskey-Merritt,WAS,7,RB37,113.0,10.0
96,Jaylen Warren,PIT,9,RB27,73.7,10.2
97,Kyle Monangai,CHI,10,RB34,97.0,9.3
98,Josh Downs,IND,13,WR45,109.6,11.9
99,Carnell Tate,TEN,9,WR28,64.5,11.8
100,Courtland Sutton,DEN,10,WR35,79.1,11.5
101,Michael Wilson,ARI,14,WR37,84.3,11.6
102,Makai Lemon,PHI,10,WR38,86.7,11.5
103,Jordan Addison,MIN,6,WR42,104.4,11.4
104,Jayden Reed,GB,11,WR48,116.2,11.3
105,J.K. Dobbins,DEN,10,RB33,92.3,9.3
106,RJ Harvey,DEN,10,RB29,78.9,9.7
107,Kenny Gainwell,TB,10,RB36,112.4,10.0
