fp_pos_rank_num,fp_pos_rank,player_name,position,team,bye,pos_adp,fp_adp,fp_proj_pts_half_ppr
1,QB1,Josh Allen,QB,BUF,7,QB1,22.5,335.9
2,QB2,Lamar Jackson,QB,BLT,13,QB2,32.3,312.2
3,QB3,Jayden Daniels,QB,WAS,7,QB6,64.4,309.0
4,QB4,Drake Maye,QB,NE,11,QB3,47.4,306.0
5,QB5,Jalen Hurts,QB,PHI,10,QB5,61.1,303.4
6,QB6,Joe Burrow,QB,CIN,6,QB4,51.5,295.7
7,QB7,Dak Prescott,QB,DAL,14,QB8,77.8,295.5
8,QB8,Trevor Lawrence,QB,JAX,7,QB12,100.8,282.3
9,QB9,Justin Herbert,QB,LAC,7,QB9,82.7,280.6
10,QB10,Brock Purdy,QB,SF,8,QB15,121.3,278.9
11,QB11,Jaxson Dart,QB,NYG,8,QB10,89.1,273.7
12,QB12,Caleb Williams,QB,CHI,10,QB7,71.7,272.9
13,QB13,Matthew Stafford,QB,LA,11,QB11,95.7,271.6
14,QB14,Bo Nix,QB,DEN,10,QB14,120.0,270.8
15,QB15,Patrick Mahomes,QB,KC,5,QB13,106.6,269.9
16,QB16,Malik Willis,QB,MIA,6,QB23,194.2,265.7
17,QB17,Tyler Shough,QB,NO,8,QB20,170.9,264.9
18,QB18,Jared Goff,QB,DET,6,QB16,133.7,262.4
19,QB19,Kyler Murray,QB,MIN,6,QB19,159.7,259.6
20,QB20,Jordan Love,QB,GB,11,QB18,147.5,255.3
21,QB21,Baker Mayfield,QB,TB,10,QB17,141.7,251.4
22,QB22,Sam Darnold,QB,SEA,11,QB21,177.1,247.2
23,QB23,C.J. Stroud,QB,HST,8,QB24,203.9,246.8
24,QB24,Daniel Jones,QB,IND,13,QB25,205.8,240.4
25,QB25,Jacoby Brissett,QB,ARZ,14,QB34,243.0,230.3
26,QB26,Geno Smith,QB,NYJ,13,QB109,999.0,222.9
27,QB27,Bryce Young,QB,CAR,5,QB28,227.1,213.2
28,QB28,Aaron Rodgers,QB,PIT,9,QB30,228.8,212.3
29,QB29,Cam Ward,QB,TEN,9,QB26,213.7,209.8
30,QB30,Deshaun Watson,QB,CLV,11,QB114,999.0,193.9
31,QB31,Fernando Mendoza,QB,LV,13,QB22,181.1,155.1
32,QB32,Tua Tagovailoa,QB,ATL,11,QB32,236.5,127.3
33,QB33,Michael Penix Jr.,QB,ATL,11,QB29,227.9,118.5
34,QB34,Kirk Cousins,QB,LV,13,QB94,999.0,111.7
35,QB35,J.J. McCarthy,QB,MIN,6,QB27,224.2,47.5
36,QB36,Shedeur Sanders,QB,CLV,11,QB31,236.1,41.1
37,QB37,Jameis Winston,QB,NYG,8,QB98,999.0,40.3
38,QB38,Carson Beck,QB,ARZ,14,QB99,999.0,37.9
39,QB39,Marcus Mariota,QB,WAS,7,QB97,999.0,36.2
40,QB40,Justin Fields,QB,KC,5,QB92,999.0,34.6
41,QB41,Tyson Bagent,QB,CHI,10,QB130,999.0,33.3
42,QB42,Tanner McKee,QB,PHI,10,QB75,999.0,33.3
43,QB43,Josh Johnson,QB,CIN,6,QB42,544.0,32.7
44,QB44,Joe Milton III,QB,DAL,14,QB80,999.0,32.5
45,QB45,Mac Jones,QB,SF,8,QB112,999.0,31.9
1,RB1,Jahmyr Gibbs,RB,DET,6,RB1,1.0,314.8
2,RB2,Bijan Robinson,RB,ATL,11,RB2,2.1,304.3
3,RB3,Jonathan Taylor,RB,IND,13,RB4,7.0,287.6
4,RB4,Christian McCaffrey,RB,SF,8,RB3,5.6,263.2
5,RB5,James Cook,RB,BUF,7,RB5,10.8,256.6
6,RB6,Saquon Barkley,RB,PHI,10,RB7,13.4,247.3
7,RB7,De'Von Achane,RB,MIA,6,RB6,11.5,243.0
8,RB8,Derrick Henry,RB,BLT,13,RB12,20.8,235.9
9,RB9,Kenneth Walker III,RB,KC,5,RB11,19.7,224.6
10,RB10,Josh Jacobs,RB,GB,11,RB15,31.8,213.0
11,RB11,Chase Brown,RB,CIN,6,RB10,16.0,211.2
12,RB12,Breece Hall,RB,NYJ,13,RB16,33.7,209.8
13,RB13,Javonte Williams,RB,DAL,14,RB17,35.2,203.3
14,RB14,David Montgomery,RB,HST,8,RB21,49.8,202.7
15,RB15,Kyren Williams,RB,LA,11,RB14,29.1,202.4
16,RB16,Omarion Hampton,RB,LAC,7,RB9,15.9,201.3
17,RB17,Ashton Jeanty,RB,LV,13,RB8,14.8,199.0
18,RB18,Bucky Irving,RB,TB,10,RB18,41.0,189.4
19,RB19,Quinshon Judkins,RB,CLV,11,RB22,53.2,189.2
20,RB20,Bhayshul Tuten,RB,JAX,7,RB25,62.7,188.0
21,RB21,D'Andre Swift,RB,CHI,10,RB24,55.6,187.0
22,RB22,Jeremiyah Love,RB,ARZ,14,RB13,26.2,185.5
23,RB23,Rhamondre Stevenson,RB,NE,11,RB30,81.0,181.7
24,RB24,Travis Etienne,RB,NO,8,RB20,44.7,181.3
25,RB25,Cam Skattebo,RB,NYG,8,RB19,43.0,164.5
26,RB26,Jaylen Warren,RB,PIT,9,RB27,73.0,164.4
27,RB27,Tony Pollard,RB,TEN,9,RB31,83.5,162.8
28,RB28,TreVeyon Henderson,RB,NE,11,RB23,53.2,158.0
29,RB29,Rico Dowdle,RB,PIT,9,RB32,85.8,156.1
30,RB30,Jadarian Price,RB,SEA,11,RB26,67.6,155.0
31,RB31,Chuba Hubbard,RB,CAR,5,RB28,77.9,151.9
32,RB32,Kenny Gainwell,RB,TB,10,RB37,112.0,146.8
33,RB33,Aaron Jones,RB,MIN,6,RB40,124.9,145.8
34,RB34,Blake Corum,RB,LA,11,RB35,103.0,133.7
35,RB35,Kyle Monangai,RB,CHI,10,RB34,99.1,129.7
36,RB36,Jonathon Brooks,RB,CAR,5,RB36,110.6,129.1
37,RB37,RJ Harvey,RB,DEN,10,RB29,79.5,127.2
38,RB38,Rachaad White,RB,WAS,7,RB41,131.6,121.7
39,RB39,Isiah Pacheco,RB,DET,6,RB54,185.1,113.7
40,RB40,Tyjae Spears,RB,TEN,9,RB49,167.2,110.2
41,RB41,J.K. Dobbins,RB,DEN,10,RB33,94.5,107.9
42,RB42,Jacory Croskey-Merritt,RB,WAS,7,RB38,113.1,105.3
43,RB43,Keaton Mitchell,RB,LAC,7,RB53,182.0,101.6
44,RB44,Justice Hill,RB,BLT,13,RB159,999.0,96.7
45,RB45,Dylan Sampson,RB,CLV,11,RB55,190.3,93.4
46,RB46,Ty Johnson,RB,BUF,7,RB157,999.0,90.9
47,RB47,Tyler Allgeier,RB,ARZ,14,RB44,145.7,85.1
48,RB48,Samaje Perine,RB,CIN,6,RB132,999.0,84.4
49,RB49,Brian Robinson,RB,ATL,11,RB45,153.4,83.5
50,RB50,Zach Charbonnet,RB,SEA,11,RB43,143.3,81.7
51,RB51,Mike Washington Jr.,RB,LV,13,RB51,173.7,80.0
52,RB52,Woody Marks,RB,HST,8,RB48,163.1,79.9
53,RB53,Jaydon Blue,RB,DAL,14,RB67,231.8,76.0
54,RB54,Chris Rodriguez Jr.,RB,JAX,7,RB42,142.1,72.4
55,RB55,Jonah Coleman,RB,DEN,10,RB50,167.9,69.8
56,RB56,Jordan Mason,RB,MIN,6,RB39,117.4,68.4
57,RB57,MarShawn Lloyd,RB,GB,11,RB57,199.3,67.0
58,RB58,Alvin Kamara,RB,NO,8,RB46,160.7,66.9
59,RB59,Tyrone Tracy Jr.,RB,NYG,8,RB47,161.3,64.5
60,RB60,Emmett Johnson,RB,KC,5,RB56,195.5,63.9
61,RB61,Isaiah Davis,RB,NYJ,13,RB204,999.0,60.5
62,RB62,Demond Claiborne,RB,MIN,6,RB72,242.0,59.7
63,RB63,Najee Harris,RB,NYG,8,RB63,221.4,57.1
64,RB64,Jaylen Wright,RB,MIA,6,RB74,247.9,55.9
65,RB65,LeQuint Allen Jr.,RB,JAX,7,RB179,999.0,55.9
66,RB66,Kaytron Allen,RB,WAS,7,RB69,239.1,54.2
67,RB67,George Holani,RB,SEA,11,RB135,999.0,54.0
68,RB68,Chris Brooks,RB,GB,11,RB209,999.0,52.0
69,RB69,Tank Bigsby,RB,PHI,10,RB52,179.3,48.3
70,RB70,Ollie Gordon II,RB,MIA,6,RB166,999.0,47.1
71,RB71,Ray Davis,RB,BUF,7,RB66,229.5,46.2
72,RB72,Brashard Smith,RB,KC,5,RB65,226.3,46.2
73,RB73,Seth McGowan,RB,IND,13,RB196,999.0,43.8
74,RB74,Braelon Allen,RB,NYJ,13,RB58,208.6,43.6
75,RB75,Jordan James,RB,SF,8,RB194,999.0,40.7
76,RB76,Kaelon Black,RB,SF,8,RB199,999.0,39.4
77,RB77,James Conner,RB,ARZ,14,RB61,215.2,39.2
78,RB78,Tahj Brooks,RB,CIN,6,RB177,999.0,37.3
79,RB79,DJ Giddens,RB,IND,13,RB188,999.0,37.0
80,RB80,Nicholas Singleton,RB,TEN,9,RB59,209.5,35.6
81,RB81,Emanuel Wilson,RB,SEA,11,RB75,250.3,35.2
