rank,player_name,team,position,pos_rank,bye,tier,upside,bust,sos_stars,adp_diff
1,Jahmyr Gibbs,DET,RB,RB1,8,1,5,1,5,0
2,Bijan Robinson,ATL,RB,RB2,11,1,5,1,3,0
3,Ja'Marr Chase,CIN,WR,WR1,6,1,5,1,3,0
4,Puka Nacua,LAR,WR,WR2,11,1,5,1,1,0
5,Jaxon Smith-Njigba,SEA,WR,WR3,11,1,5,1,3,2
6,Amon-Ra St. Brown,DET,WR,WR4,6,1,5,1,4,2
7,Christian McCaffrey,SF,RB,RB3,8,1,4,4,2,-2
8,Jonathan Taylor,IND,RB,RB4,13,1,4,1,3,-2
9,CeeDee Lamb,DAL,WR,WR5,14,1,4,1,2,-1
10,James Cook III,BUF,RB,RB5,7,1,4,1,2,-1
11,Justin Jefferson,MIN,WR,WR6,6,2,4,1,4,1
12,Chase Brown,CIN,RB,RB6,6,2,4,1,3,3
13,Drake London,ATL,WR,WR7,11,2,4,1,3,7
14,A.J. Brown,NE,WR,WR8,11,2,4,1,4,5
15,Saquon Barkley,PHI,RB,RB7,10,2,4,2,4,-4
16,De'Von Achane,MIA,RB,RB8,6,2,4,4,3,-3
17,Brock Bowers,LV,TE,TE1,13,2,4,1,3,5
18,Nico Collins,HOU,WR,WR9,8,2,4,2,3,6
19,Omarion Hampton,LAC,RB,RB9,7,2,4,1,3,-3
20,Derrick Henry,BAL,RB,RB10,13,2,3,2,2,-2
21,Kenneth Walker III,KC,RB,RB11,5,2,4,4,3,-4
22,George Pickens,DAL,WR,WR10,14,2,4,1,3,3
23,Ashton Jeanty,LV,RB,RB12,13,2,3,4,2,-9
24,Chris Olave,NO,WR,WR11,8,2,3,1,2,3
25,Trey McBride,ARI,TE,TE2,14,3,4,2,2,-2
26,Malik Nabers,NYG,WR,WR12,8,3,4,1,4,3
27,Josh Allen,BUF,QB,QB1,7,3,4,1,3,-6
28,DeVonta Smith,PHI,WR,WR13,10,3,4,1,3,4
29,Rashee Rice,KC,WR,WR14,5,3,4,4,2,4
30,Zay Flowers,BAL,WR,WR15,13,3,4,1,3,5
31,Kyren Williams,LAR,RB,RB13,11,3,3,2,5,-3
32,Tee Higgins,CIN,WR,WR16,6,3,3,2,3,4
33,Javonte Williams,DAL,RB,RB14,14,3,3,4,4,-2
34,Breece Hall,NYJ,RB,RB15,13,3,3,4,2,0
35,Lamar Jackson,BAL,QB,QB2,13,3,3,1,3,5
36,Tetairoa McMillan,CAR,WR,WR17,5,3,3,1,3,3
37,Garrett Wilson,NYJ,WR,WR18,13,3,3,1,4,7
38,Jaylen Waddle,DEN,WR,WR19,10,3,3,1,3,8
39,Ladd McConkey,LAC,WR,WR20,7,3,3,1,2,4
40,Colston Loveland,CHI,TE,TE3,10,3,3,1,2,1
41,Emeka Egbuka,TB,WR,WR21,10,4,3,1,4,1
42,Josh Jacobs,GB,RB,RB16,11,4,3,2,4,-12
43,Jeremiyah Love,ARI,RB,RB17,14,4,3,1,3,-17
44,Drake Maye,NE,QB,QB3,11,4,3,2,4,8
45,Travis Etienne Jr.,NO,RB,RB18,8,4,3,4,3,-7
46,Terry McLaurin,WAS,WR,WR22,7,4,3,1,4,7
47,D'Andre Swift,CHI,RB,RB19,10,4,2,1,4,0
48,Davante Adams,LAR,WR,WR23,11,4,2,4,1,9
49,Joe Burrow,CIN,QB,QB4,6,4,2,1,3,6
50,Luther Burden III,CHI,WR,WR24,10,4,3,2,4,4
