team,neutral_proe,vacated_target_share,vacated_air_yards,team_epa_per_play,neutral_pace_sec,run_epa,pass_epa
KC,0.068,0.145,1250,0.142,26.5,0.02,0.22
DAL,0.055,0.22,1680,0.115,24.8,-0.04,0.2
CIN,0.05,0.18,1420,0.125,25.2,0.01,0.21
HOU,0.042,0.24,1950,0.108,25.8,-0.01,0.18
MIA,0.04,0.12,950,0.118,24.2,0.06,0.16
MIN,0.035,0.19,1580,0.085,27.1,-0.02,0.15
ATL,0.032,0.15,1100,0.092,26.0,0.05,0.12
BUF,0.03,0.32,2450,0.155,26.9,0.08,0.2
TB,0.028,0.11,820,0.078,27.5,-0.03,0.14
PHI,0.025,0.08,640,0.138,27.2,0.12,0.15
GB,0.02,0.16,1300,0.112,27.8,0.04,0.16
DET,0.018,0.09,720,0.16,26.4,0.11,0.19
NYJ,0.015,0.21,1650,0.065,26.8,0.03,0.09
JAX,0.015,0.28,2100,0.052,27.9,-0.02,0.1
WAS,0.012,0.23,1780,0.088,25.1,0.07,0.1
CHI,0.01,0.26,2020,0.048,27.6,0.01,0.07
LAR,0.008,0.14,1120,0.095,27.4,0.04,0.13
ARI,0.005,0.22,1750,0.072,25.5,0.05,0.08
IND,0.005,0.13,980,0.068,27.3,0.06,0.07
NO,0.005,0.15,1150,0.035,28.2,-0.03,0.08
SEA,0.0,0.17,1340,0.058,28.0,0.02,0.08
CLE,0.0,0.16,1280,0.022,29.1,0.01,0.03
LV,-0.005,0.29,2250,0.015,28.5,-0.04,0.05
NYG,-0.01,0.31,2350,-0.01,27.7,0.0,-0.02
SF,-0.012,0.11,890,0.175,28.8,0.14,0.2
CAR,-0.015,0.25,1900,-0.03,28.6,-0.01,-0.04
DEN,-0.018,0.27,2100,0.02,28.9,0.01,0.03
TEN,-0.02,0.33,2550,0.01,29.0,0.03,-0.01
NE,-0.03,0.3,2300,-0.055,29.4,-0.02,-0.07
LAC,-0.035,0.38,2900,0.06,29.2,0.05,0.07
BAL,-0.045,0.15,1150,0.165,28.4,0.15,0.18
PIT,-0.05,0.28,2150,0.03,29.6,0.04,0.02
